Brand,Subbrand,ProductName,ml,Items,LDRP,SDMRP,T&TRP,BLFRP,SOFRP,CostcoRP,RexallRP,LDSP,SDMSP,T&TSP,BLFSP,SOFSP,CostcoSP,RexallSP
Colgate,Enamel Health,Mineral Repair,85,1,,,,4.99,3.49,,,,,,4.79,1.99,,
Colgate,Enamel Health,Multi-Protection Cool Mint,125,1,,,,,,,6.99,,,,,,,
Colgate,Enamel Health,Sensitivity Relief Fresh Mint,85,1,4.49,,,,,,,2.99,,,,,,
Colgate,Enamel Health,Sensitivity Relief Fresh Mint,125,1,,,,,,,6.99,,,,,,,
Colgate,Enamel Health,Sensitivity Relief Fresh Mint,155,1,,5.99,,,,,,,3.99,,,,,
Colgate,Enamel Health,Whitening Clean Mint,85,1,4.49,,,,,,,2.99,,,,,,
Colgate,Enamel Health,Whitening Clean Mint,125,1,,5.99,,,,,6.99,,3.99,,,,,
Colgate,MaxFresh,Knockout with Whitening Mint Fusion ,120,1,,4.79,,,,,,,2.49,,,,,
Colgate,MaxFresh,MaxWhite with Bright Strips Minty Sparkle,120,1,,,,,,,5.99,,,,,,,
Colgate,MaxFresh,Whitening Breath Strips Clean Mint,120,1,,4.79,,,,,,,2.49,,,,,
Colgate,MaxFresh,Whitening Breath Strips Cool Mint,120,1,,4.79,,3.69,3.49,,,,2.49,,,1.99,,
Colgate,MaxFresh,with Whitening Cool Mint,120,1,,,,,,,5.99,,,,,,,
Colgate,MaxFresh,with Whitening Cool Mint,150,1,,,,,,,6.99,,,,,,,5.49
Colgate,MaxFresh,with Whitening Smartfoam,120,1,,,,,,,5.99,,,,,,,
Colgate,Optic White,Enamel White Luminous Mint,75,1,,4.99,,3.69,3.49,,,,2.49,,,1.99,,
Colgate,Optic White,Enamel White Luminous Mint,140,1,,,,,,,8.49,,,,,,,
Colgate,Optic White,High Impact White Whitening ,70,1,,,,4.99,,,,,,,4.79,,,
Colgate,Optic White,Icy Fresh Anticavity Fluoride Cool Mint,75,1,,4.99,,,,,5.99,,2.49,,,,,
Colgate,Optic White,Icy Fresh Anticavity Fluoride Cool Mint,140,1,,,,,,,7.79,,,,,,,
Colgate,Optic White,Icy Fresh Cool Mint,75,1,,,,3.69,,,,,,,,,,
Colgate,Optic White,Icy Fresh Whitening ,75,1,,,4.38,,,,,,,,,,,
Colgate,Optic White,Icy Fresh Whitening ,140,1,,6.79,,,,,,,3.99,,,,,
Colgate,Optic White,Sparkling Mint,75,1,,,,,,,5.99,,,,,,,
Colgate,Optic White,Sparkling Mint ,140,1,,6.79,,,,,8.49,,3.99,,,,,
Colgate,Optic White,Sparkling Mint Whitening ,75,1,,4.99,,,,,,,2.49,,,,,
Colgate,Sensitive,Original ,90,1,5.49,,,,,,7.49,3.99,,,,,,
Colgate,Sensitive,Whitening,90,1,5.49,5.49,,4.99,,,7.49,3.99,3.99,,4.79,,,
Colgate,Sensitive Pro-Relief,Complete Protection,75,1,,6.29,,,,,,,4.99,,,,,
Colgate,Sensitive Pro-Relief,Enamel Repair ,75,1,,,,,4.99,,7.49,,,,,3.5,,
Colgate,Sensitive Pro-Relief,Enamel Repair ,120,1,,,,,,,9.99,,,,,,,6.99
Colgate,Sensitive Pro-Relief,Gentle Whitening ,75,1,,6.29,,4.99,,,,,4.99,,4.79,,,
Colgate,Sensitive Pro-Relief,Lasting Fresh,75,1,,,,,,,7.49,,,,,,,
Colgate,Sensitive Pro-Relief,Multi-Protection ,75,1,4.99,,,,,,,3.99,,,,,,
Colgate,Sensitive Pro-Relief,Multi-Protection ,120,1,,7.99,,,,,,,,,,,,
